
0.7 coefvel 62 alphaweight %79.21

Goal Reached!  Total distance traveled is: 21.868 || Avg execution time per cycle is: 0.000606335
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 44
Collision occured!  ||  Avg execution time per cycle is: 0.000777778
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 45
Goal Reached!  Total distance traveled is: 22.0614 || Avg execution time per cycle is: 0.000592
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 46
Goal Reached!  Total distance traveled is: 21.7652 || Avg execution time per cycle is: 0.000561086
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 47
Collision occured!  ||  Avg execution time per cycle is: 0.000758621
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 48
Goal Reached!  Total distance traveled is: 21.924 || Avg execution time per cycle is: 0.000617021
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 49
Goal Reached!  Total distance traveled is: 22.006 || Avg execution time per cycle is: 0.000615079
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 50
Collision occured!  ||  Avg execution time per cycle is: 0.000677686
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 51
Goal Reached!  Total distance traveled is: 21.8417 || Avg execution time per cycle is: 0.000584746
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 52
Goal Reached!  Total distance traveled is: 21.8978 || Avg execution time per cycle is: 0.000633065
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 53
Goal Reached!  Total distance traveled is: 21.9725 || Avg execution time per cycle is: 0.000571429
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 54
Goal Reached!  Total distance traveled is: 22.2349 || Avg execution time per cycle is: 0.000660079
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 55
Collision occured!  ||  Avg execution time per cycle is: 0.00071978
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 56
Goal Reached!  Total distance traveled is: 22.0097 || Avg execution time per cycle is: 0.000677291
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 57
Goal Reached!  Total distance traveled is: 21.8843 || Avg execution time per cycle is: 0.000637555
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 58
Collision occured!  ||  Avg execution time per cycle is: 0.000715385
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 59
Goal Reached!  Total distance traveled is: 22.0274 || Avg execution time per cycle is: 0.000569038
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 60
Collision occured!  ||  Avg execution time per cycle is: 0.000728972
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 61
Goal Reached!  Total distance traveled is: 21.9766 || Avg execution time per cycle is: 0.000630435
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 62
Goal Reached!  Total distance traveled is: 21.9671 || Avg execution time per cycle is: 0.000605932
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 63
Goal Reached!  Total distance traveled is: 22.2714 || Avg execution time per cycle is: 0.000592058
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 64
Collision occured!  ||  Avg execution time per cycle is: 0.000774648
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 65
Collision occured!  ||  Avg execution time per cycle is: 0.000718447
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 66
Goal Reached!  Total distance traveled is: 21.786 || Avg execution time per cycle is: 0.000583333
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 67
Goal Reached!  Total distance traveled is: 22.0186 || Avg execution time per cycle is: 0.000588477
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 68
Goal Reached!  Total distance traveled is: 22.0603 || Avg execution time per cycle is: 0.000598394
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 69
Collision occured!  ||  Avg execution time per cycle is: 0.000705202
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 70
Goal Reached!  Total distance traveled is: 21.6986 || Avg execution time per cycle is: 0.000634259
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 71
Goal Reached!  Total distance traveled is: 21.9268 || Avg execution time per cycle is: 0.000628975
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 72
Goal Reached!  Total distance traveled is: 21.9289 || Avg execution time per cycle is: 0.000599349
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 73
Goal Reached!  Total distance traveled is: 21.9161 || Avg execution time per cycle is: 0.000549451
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 74
Goal Reached!  Total distance traveled is: 22.1508 || Avg execution time per cycle is: 0.000592466
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 75
Collision occured!  ||  Avg execution time per cycle is: 0.000833333
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 76
Goal Reached!  Total distance traveled is: 21.7704 || Avg execution time per cycle is: 0.000576642
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 77
Collision occured!  ||  Avg execution time per cycle is: 0.000635762
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 78
Goal Reached!  Total distance traveled is: 22.1976 || Avg execution time per cycle is: 0.000563934
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 79
Collision occured!  ||  Avg execution time per cycle is: 0.000728571
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 80
Goal Reached!  Total distance traveled is: 21.819 || Avg execution time per cycle is: 0.000624535
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 81
Goal Reached!  Total distance traveled is: 22.0033 || Avg execution time per cycle is: 0.000564626
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 82
Goal Reached!  Total distance traveled is: 22.0695 || Avg execution time per cycle is: 0.000599327
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 83
Goal Reached!  Total distance traveled is: 22.0251 || Avg execution time per cycle is: 0.000631034
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 84
Goal Reached!  Total distance traveled is: 22.0826 || Avg execution time per cycle is: 0.000615385
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 85
Goal Reached!  Total distance traveled is: 21.7796 || Avg execution time per cycle is: 0.000622137
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 86
Goal Reached!  Total distance traveled is: 21.9263 || Avg execution time per cycle is: 0.000634409
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 87
Collision occured!  ||  Avg execution time per cycle is: 0.000665049
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 88
Goal Reached!  Total distance traveled is: 22.5662 || Avg execution time per cycle is: 0.000606322
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 89
Goal Reached!  Total distance traveled is: 22.0817 || Avg execution time per cycle is: 0.000575251
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 90
Goal Reached!  Total distance traveled is: 21.8608 || Avg execution time per cycle is: 0.00057554
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 91
Collision occured!  ||  Avg execution time per cycle is: 0.000833333
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 92
Goal Reached!  Total distance traveled is: 22.3711 || Avg execution time per cycle is: 0.000639241
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 93
Goal Reached!  Total distance traveled is: 22.0354 || Avg execution time per cycle is: 0.000653571
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 94
Goal Reached!  Total distance traveled is: 21.989 || Avg execution time per cycle is: 0.000637324
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 95
Goal Reached!  Total distance traveled is: 22.3249 || Avg execution time per cycle is: 0.00056
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 96
Goal Reached!  Total distance traveled is: 21.9678 || Avg execution time per cycle is: 0.000655678
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 97
Goal Reached!  Total distance traveled is: 22.1663 || Avg execution time per cycle is: 0.000601307
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 98
Goal Reached!  Total distance traveled is: 22.1368 || Avg execution time per cycle is: 0.000621528
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 99
Goal Reached!  Total distance traveled is: 22.131 || Avg execution time per cycle is: 0.000581315
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 100
Goal Reached!  Total distance traveled is: 22.1081 || Avg execution time per cycle is: 0.000603571
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 101
Goal Reached!  Total distance traveled is: 22.1496 || Avg execution time per cycle is: 0.000627832
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 102
Goal Reached!  Total distance traveled is: 22.3422 || Avg execution time per cycle is: 0.000665746
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 103
Goal Reached!  Total distance traveled is: 22.562 || Avg execution time per cycle is: 0.000659443
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 104
Goal Reached!  Total distance traveled is: 22.3401 || Avg execution time per cycle is: 0.000607143
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 105
Goal Reached!  Total distance traveled is: 22.0556 || Avg execution time per cycle is: 0.00062
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 106
Goal Reached!  Total distance traveled is: 21.9863 || Avg execution time per cycle is: 0.000730909
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 107
Goal Reached!  Total distance traveled is: 22.0833 || Avg execution time per cycle is: 0.00061794
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 108
Goal Reached!  Total distance traveled is: 22.0682 || Avg execution time per cycle is: 0.000602076
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 109
Collision occured!  ||  Avg execution time per cycle is: 0.00100935
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 110
Goal Reached!  Total distance traveled is: 22.0372 || Avg execution time per cycle is: 0.00128261
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 111
Goal Reached!  Total distance traveled is: 22.0072 || Avg execution time per cycle is: 0.00125175
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 112
Goal Reached!  Total distance traveled is: 22.2686 || Avg execution time per cycle is: 0.00347811
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 113
Collision occured!  ||  Avg execution time per cycle is: 0.001
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 114
Goal Reached!  Total distance traveled is: 22.1611 || Avg execution time per cycle is: 0.000685629
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 115
Goal Reached!  Total distance traveled is: 22.0019 || Avg execution time per cycle is: 0.000538462
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 116
Goal Reached!  Total distance traveled is: 21.98 || Avg execution time per cycle is: 0.000635714
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 117
Goal Reached!  Total distance traveled is: 22.1225 || Avg execution time per cycle is: 0.000641694
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 118
Goal Reached!  Total distance traveled is: 22.0944 || Avg execution time per cycle is: 0.000654237
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 119
Goal Reached!  Total distance traveled is: 21.9178 || Avg execution time per cycle is: 0.000597122
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 120
Collision occured!  ||  Avg execution time per cycle is: 0.000691176
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 121
Goal Reached!  Total distance traveled is: 22.0626 || Avg execution time per cycle is: 0.000585859
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 122
Collision occured!  ||  Avg execution time per cycle is: 0.000688623
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 123
Collision occured!  ||  Avg execution time per cycle is: 0.000677966
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 124
Goal Reached!  Total distance traveled is: 22.069 || Avg execution time per cycle is: 0.000599327
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 125
Goal Reached!  Total distance traveled is: 21.9637 || Avg execution time per cycle is: 0.000573477
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 126
Collision occured!  ||  Avg execution time per cycle is: 0.000722892
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 127
Goal Reached!  Total distance traveled is: 22.0226 || Avg execution time per cycle is: 0.000598616
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 128
Collision occured!  ||  Avg execution time per cycle is: 0.000691176
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 129
Goal Reached!  Total distance traveled is: 21.8985 || Avg execution time per cycle is: 0.000581132
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 130
Goal Reached!  Total distance traveled is: 21.9685 || Avg execution time per cycle is: 0.00061324
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 131
Goal Reached!  Total distance traveled is: 22.0261 || Avg execution time per cycle is: 0.000639286
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 132
Goal Reached!  Total distance traveled is: 21.8706 || Avg execution time per cycle is: 0.000569892
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 133
Collision occured!  ||  Avg execution time per cycle is: 0.000816667
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 134
Collision occured!  ||  Avg execution time per cycle is: 0.000770492
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 135
Goal Reached!  Total distance traveled is: 21.864 || Avg execution time per cycle is: 0.000529197
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 136
Goal Reached!  Total distance traveled is: 22.1817 || Avg execution time per cycle is: 0.00060396
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 137
Goal Reached!  Total distance traveled is: 22.0146 || Avg execution time per cycle is: 0.000598039
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 138
Goal Reached!  Total distance traveled is: 22.2132 || Avg execution time per cycle is: 0.000622517
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 139
Goal Reached!  Total distance traveled is: 22.0216 || Avg execution time per cycle is: 0.000606272
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 140
Goal Reached!  Total distance traveled is: 21.9033 || Avg execution time per cycle is: 0.000610108
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 141
Goal Reached!  Total distance traveled is: 21.9523 || Avg execution time per cycle is: 0.000596026
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 142
Goal Reached!  Total distance traveled is: 21.9202 || Avg execution time per cycle is: 0.00056
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 143
Goal Reached!  Total distance traveled is: 22.1925 || Avg execution time per cycle is: 0.000567073
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 144
Goal Reached!  Total distance traveled is: 21.9879 || Avg execution time per cycle is: 0.000607261
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 145
Goal Reached!  Total distance traveled is: 21.9265 || Avg execution time per cycle is: 0.000698113
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 146
Collision occured!  ||  Avg execution time per cycle is: 0.000762712
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 147
Goal Reached!  Total distance traveled is: 21.9673 || Avg execution time per cycle is: 0.000576642
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 148
Goal Reached!  Total distance traveled is: 22.1773 || Avg execution time per cycle is: 0.000615873
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 149
Collision occured!  ||  Avg execution time per cycle is: 0.000735537
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 150
Goal Reached!  Total distance traveled is: 22.34 || Avg execution time per cycle is: 0.00060443
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 151
Goal Reached!  Total distance traveled is: 21.8801 || Avg execution time per cycle is: 0.000560886
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 152
Goal Reached!  Total distance traveled is: 22.1258 || Avg execution time per cycle is: 0.000592199
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 153
Goal Reached!  Total distance traveled is: 22.0604 || Avg execution time per cycle is: 0.000631944
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 154
Goal Reached!  Total distance traveled is: 21.9489 || Avg execution time per cycle is: 0.000588448
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 155
Goal Reached!  Total distance traveled is: 21.9412 || Avg execution time per cycle is: 0.000567857
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 156
Goal Reached!  Total distance traveled is: 21.8062 || Avg execution time per cycle is: 0.000600775
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 157
Goal Reached!  Total distance traveled is: 22.0331 || Avg execution time per cycle is: 0.000592199
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 158
Goal Reached!  Total distance traveled is: 22.1421 || Avg execution time per cycle is: 0.000649351
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 159
Goal Reached!  Total distance traveled is: 22.8055 || Avg execution time per cycle is: 0.000584527
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 160
Goal Reached!  Total distance traveled is: 22.0015 || Avg execution time per cycle is: 0.000557895
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 161
Goal Reached!  Total distance traveled is: 21.9189 || Avg execution time per cycle is: 0.000592857
